Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,pop2010,popDensity2010
Brooklyn,047,3,015100,"3,578",97.0
Brooklyn,047,3,015200,"2,309",35.0
Brooklyn,047,3,015300,"3,041",81.8
Brooklyn,047,3,015400,0,0.0
Brooklyn,047,3,015500,"3,272",88.5
Brooklyn,047,3,015700,"4,135",100.0
Brooklyn,047,3,015900,"5,036",81.3
Brooklyn,047,3,016000,"4,217",65.9
Brooklyn,047,3,016100,"3,075",68.2
Brooklyn,047,3,016200,"2,082",34.9
Brooklyn,047,3,016300,"2,991",65.8
Brooklyn,047,3,016400,764,3.9
Brooklyn,047,3,016500,"5,141",111.6
Brooklyn,047,3,016600,"2,059",31.2
Brooklyn,047,3,016700,"4,638",111.1
Brooklyn,047,3,016800,"1,510",35.6
Brooklyn,047,3,016900,"4,497",86.9
Brooklyn,047,3,017000,"3,254",63.0
Brooklyn,047,3,017100,"3,749",72.9
Brooklyn,047,3,017200,"2,931",57.5
Brooklyn,047,3,017400,"1,793",42.6
Brooklyn,047,3,017500,5,0.0
Brooklyn,047,3,017600,"2,295",65.2
Brooklyn,047,3,017700,0,0.0
Brooklyn,047,3,017800,"2,898",71.5
Brooklyn,047,3,017900,"3,624",92.3
Brooklyn,047,3,018000,"3,193",73.4
Brooklyn,047,3,018100,"3,936",94.3
Brooklyn,047,3,018200,"3,163",77.4
Brooklyn,047,3,018300,"2,500",73.7
Brooklyn,047,3,018400,"2,002",54.3
Brooklyn,047,3,018501,"3,827",148.0
Brooklyn,047,3,018600,"2,124",76.0
Brooklyn,047,3,018700,"1,411",70.6
Brooklyn,047,3,018800,"2,640",61.0
Brooklyn,047,3,019000,"4,782",90.9
Brooklyn,047,3,019100,"2,332",37.7
Brooklyn,047,3,019200,"2,772",59.1
Brooklyn,047,3,019300,"5,628",84.4
Brooklyn,047,3,019400,"3,305",75.0
Brooklyn,047,3,019500,"3,366",99.4
Brooklyn,047,3,019600,"4,353",93.6
Brooklyn,047,3,019700,"3,313",78.9
Brooklyn,047,3,019800,"1,702",51.1
Brooklyn,047,3,019900,"2,929",62.7
Brooklyn,047,3,020000,"2,265",68.0
Brooklyn,047,3,020100,"3,421",78.9
Brooklyn,047,3,020200,"1,874",56.2
Brooklyn,047,3,020300,"1,697",48.8
Brooklyn,047,3,020400,"1,708",51.3
Brooklyn,047,3,020500,"2,469",62.6
Brooklyn,047,3,020600,"2,220",52.7
Brooklyn,047,3,020700,"4,310",125.7
Brooklyn,047,3,020800,"3,048",86.1
Brooklyn,047,3,021000,"3,968",107.0
Brooklyn,047,3,021100,"1,210",25.4
Brooklyn,047,3,021200,"4,643",98.5
Brooklyn,047,3,021300,"4,205",92.4
Brooklyn,047,3,021400,"2,152",51.8
Brooklyn,047,3,021500,"5,307",139.0
Brooklyn,047,3,021600,"4,015",96.6
Brooklyn,047,3,021700,"3,597",121.6
Brooklyn,047,3,021800,"3,761",96.4
Brooklyn,047,3,021900,"3,595",98.9
Brooklyn,047,3,022000,"4,939",102.9
Brooklyn,047,3,022100,"3,609",97.4
Brooklyn,047,3,022200,"4,693",107.8
Brooklyn,047,3,022400,"5,486",126.5
Brooklyn,047,3,022600,"2,516",65.2
Brooklyn,047,3,022700,"3,454",58.1
Brooklyn,047,3,022800,"3,306",79.9
Brooklyn,047,3,022900,"3,395",80.0
Brooklyn,047,3,023000,"4,515",121.0
Brooklyn,047,3,023100,"3,025",76.8
Brooklyn,047,3,023200,"5,699",101.9
Brooklyn,047,3,023300,"5,061",119.2
Brooklyn,047,3,023400,"5,059",120.6
Brooklyn,047,3,023500,"3,928",112.3
Brooklyn,047,3,023600,"5,600",133.4
Brooklyn,047,3,023800,"4,590",109.3
Brooklyn,047,3,024000,"4,693",111.9
Brooklyn,047,3,024100,"2,229",50.1
Brooklyn,047,3,024200,"2,984",63.1
Brooklyn,047,3,024300,"3,786",99.3
Brooklyn,047,3,024400,"3,238",84.4
Brooklyn,047,3,024500,"3,946",95.7
Brooklyn,047,3,024600,"3,256",76.2
Brooklyn,047,3,024700,"2,316",51.5
Brooklyn,047,3,024800,"2,698",62.0
Brooklyn,047,3,024900,"3,823",91.8
Brooklyn,047,3,025000,"1,722",40.2
Brooklyn,047,3,025100,"3,816",111.5
Brooklyn,047,3,025200,"4,786",106.9
Brooklyn,047,3,025300,"2,754",68.9
Brooklyn,047,3,025400,"3,500",80.7
Brooklyn,047,3,025500,"5,102",148.9
Brooklyn,047,3,025600,"3,058",71.4
Brooklyn,047,3,025700,"2,131",47.6
Brooklyn,047,3,025800,"4,597",109.3
Brooklyn,047,3,025901,"2,010",101.4
Brooklyn,047,3,025902,"3,419",232.1
Brooklyn,047,3,026000,"3,649",90.7
Brooklyn,047,3,026100,"4,917",99.8
Brooklyn,047,3,026200,"2,374",60.9
Brooklyn,047,3,026300,"1,868",63.2
Brooklyn,047,3,026400,"4,592",98.1
Brooklyn,047,3,026500,"3,838",97.3
Brooklyn,047,3,026600,"3,733",91.1
Brooklyn,047,3,026700,"3,920",99.4
Brooklyn,047,3,026800,"4,188",94.7
Brooklyn,047,3,026900,"2,770",83.7
Brooklyn,047,3,027000,"2,449",74.0
Brooklyn,047,3,027100,"2,471",38.2
Brooklyn,047,3,027200,"3,480",106.6
Brooklyn,047,3,027300,"2,813",76.0
Brooklyn,047,3,027400,"3,028",75.0
Brooklyn,047,3,027500,"4,180",104.4
Brooklyn,047,3,027600,"3,694",100.1
Brooklyn,047,3,027700,"3,945",98.5
Brooklyn,047,3,027800,"3,220",81.2
Brooklyn,047,3,027900,"3,674",91.8
Brooklyn,047,3,028000,"1,761",48.8
Brooklyn,047,3,028100,"4,193",104.8
Brooklyn,047,3,028200,"2,943",65.9
Brooklyn,047,3,028300,"4,097",136.0
Brooklyn,047,3,028400,"4,003",98.6
Brooklyn,047,3,028501,428,20.8
Brooklyn,047,3,028502,"2,802",94.6
Brooklyn,047,3,028600,"4,814",109.4
Brooklyn,047,3,028700,"2,991",81.2
Brooklyn,047,3,028800,"3,458",91.6
Brooklyn,047,3,028900,"3,538",86.5
