Borough,tractID,pop2010,popDens2010
Brooklyn,040200,"2,740",89.2
Brooklyn,040300,"3,538",56.1
Brooklyn,040400,"2,551",68.1
Brooklyn,040500,"1,480",67.2
Brooklyn,040600,"3,184",43.4
Brooklyn,040700,14,87.6
Brooklyn,040800,"3,566",0.1
Brooklyn,040900,"3,752",94.4
Brooklyn,041000,"1,773",90.3
Brooklyn,041100,"3,302",50.2
Brooklyn,041200,"2,929",99.0
Brooklyn,041300,"3,822",71.7
Brooklyn,041401,"1,351",95.4
Brooklyn,041402,"1,612",40.5
Brooklyn,041500,"4,064",42.4
Brooklyn,041600,"2,324",101.1
Brooklyn,041700,"3,609",57.9
Brooklyn,041800,"2,359",103.5
Brooklyn,041900,"3,770",58.1
Brooklyn,042000,"1,896",99.7
Brooklyn,042100,"3,920",45.5
Brooklyn,042200,"3,568",103.4
Brooklyn,042300,"4,217",63.4
Brooklyn,042400,"3,666",93.6
Brooklyn,042500,"3,042",92.1
Brooklyn,042600,"4,135",73.4
Brooklyn,042700,"5,074",98.4
Brooklyn,042800,"3,857",137.7
Brooklyn,042900,"5,630",94.8
Brooklyn,043000,"3,333",135.5
Brooklyn,043100,"5,113",84.3
Brooklyn,043200,"4,250",123.0
Brooklyn,043300,"4,064",115.6
Brooklyn,043400,"3,433",97.8
Brooklyn,043500,"4,463",99.5
Brooklyn,043600,"4,160",107.4
Brooklyn,043700,"5,240",122.4
Brooklyn,043800,"2,481",126.9
Brooklyn,043900,"3,829",64.3
Brooklyn,044000,"2,880",77.7
Brooklyn,044100,"5,643",57.8
Brooklyn,044200,"2,658",161.0
Brooklyn,044300,"5,557",58.8
Brooklyn,044400,"3,336",135.1
Brooklyn,044500,"4,446",77.3
Brooklyn,044600,"1,909",108.3
Brooklyn,044700,"2,310",54.6
Brooklyn,044800,"1,915",58.7
Brooklyn,044900,"2,932",35.4
Brooklyn,045000,673,5.6
Brooklyn,045200,"2,701",12.0
Brooklyn,045300,"2,017",58.7
Brooklyn,045400,"1,852",25.5
Brooklyn,045600,"2,357",56.6
Brooklyn,045800,"1,490",62.1
Brooklyn,046000,"3,729",33.6
Brooklyn,046201,"2,632",77.0
Brooklyn,046202,"1,803",83.0
Brooklyn,046400,"2,838",41.2
Brooklyn,046800,"2,054",67.9
Brooklyn,047000,"2,886",29.0
Brooklyn,047200,"3,141",64.2
Brooklyn,047400,"2,969",73.6
Brooklyn,047600,"3,646",68.3
Brooklyn,047700,"3,318",71.2
Brooklyn,047800,"4,848",61.2
Brooklyn,048000,"3,769",88.7
Brooklyn,048100,"2,778",99.0
Brooklyn,048200,"5,331",74.3
Brooklyn,048400,"5,481",110.2
Brooklyn,048500,"2,510",106.0
Brooklyn,048600,"3,568",17.5
Brooklyn,048800,"4,395",82.3
Brooklyn,048900,"4,039",124.1
Brooklyn,049000,"5,899",178.4
Brooklyn,049100,"6,418",123.9
Brooklyn,049200,"3,495",121.9
Brooklyn,049300,"7,625",85.6
Brooklyn,049400,"5,308",135.3
Brooklyn,049500,"2,603",117.3
Brooklyn,049600,"4,513",81.6
Brooklyn,049700,"2,645",90.0
Brooklyn,049800,"4,232",64.8
Brooklyn,049900,"1,753",83.8
Brooklyn,050000,"3,474",50.3
Brooklyn,050100,"2,786",70.8
Brooklyn,050202,"2,201",64.7
Brooklyn,050300,"2,582",64.2
Brooklyn,050400,"4,527",83.4
Brooklyn,050500,"4,163",78.8
Brooklyn,050600,"6,016",99.5
